Existe una estrecha y sorprendente relación entre nuestra salud y la salud del océano, dice el biologo marino Stephen Palumbi. Nos muestra, através de una impactante historia acerca de la contaminación tóxica en el mercado pesquero japonés, como las toxinas de la cadena alimenticia del fondo oceánico llegan a nuestro cuerpo.	326
Sucede porque hemos arruinado tanto la base de la piaramide natural del océano que esa bacteria se obstruye y se riega en nuestras playas.	138
Usualmente lo que se rebosa son las aguas residuales.	53
Stephen Palumbi: Siguiendo el camino del mercurio.	50
El océano puede ser una cosa muy complicada.	44
Y podria ser una cosa muy complicada lo que la salud humana es.	63
Y unirlas, podría ser una tarea desalentadora. Lo que voy a tratar de decir es que aún en esa complejidad, existen temas sencillos que si los entendemos, podemos continuar.	172
Esos temas sencillos no son realmente temas acerca de la complejidad de lo que está sucediendo, sino de cosas que todos sabemos.	128
Y voy a comezar con ésta. Si mamá no está contenta, nadie lo está.	66
lo sabemos, ¿verdad? Lo hemos experimentado.	44
Si partimos de esa noción y seguimos desde ahí, podemos dar el siguiente paso, que es que si el océano no está contento, nadie lo está.	135
Ese es el tema de mi charla.	28
Y estamos haciendo al océano infeliz de diferentes formas.	58
Esta es una foto de Cannery Row en 1932.	40
Cannery Row, en ese momento,½ tenía la industria de enlatados más grande de la costa oeste.	91
Acumulamos grandes cantidades de contaminantes en el aire y en el agua.	71
Rolf Bolin, quien fue profesor en la estación marina Hopkin donde trabajo, escribió en 1940 que "los gases provenientes de la mugre que flota en las entradas de la bahía eran tan dañinos que tiñeron de negro las pinturas a base de plomo.	237
La gente que trabajaba en estas fábricas difícilmente podían permanecer allí todo el día debido al olor. ¿Saben lo que decían cuando salían?	140
Decían, "¿Sabes a qué hueles?	29
Hueles a dinero".	17
La contaminación era dinero para esa comunidad. Toda esa gente lidió con la contaminación y la absorbieron en su piel y cuerpo por que necesitaban el dinero.	157
Hicimos al océano infeliz; hicimos a las personas infelices, y los hicimos enfermar.	84
La relación entre la salud del océano y la salud humana está realmente basada en un par de refranes. Y lo quiero llamar "pellizca a un pececito y estarás hiriendo a una ballena"	177
En la pirámide de la vida marina...	35
Ahora ...cuando un ecologista ve el océano, tengo que decirles, vemos el océano de una forma diferente, y vemos cosas diferentes a lo que las personas normales ven en el océano. por que cuando un ecologista mira el océano, vemos todas las interconexiones.	255
Vemos la base de la cadena alimenticia, el plancton, las cosas pequeñas, y vemos como esos animales son el alimento de los animales de la mitad en la piramide, y así sucesivamente a medida que subimos por el diagrama.	217
Y ese flujo, ese flujo de vida, desde la base hasta lo más alto, es el flujo que los ecologistas ven.	101
Y eso es lo que tratamos de conservar cuando decimos, "Salva el océano. Sana el océano"	87
Es esa piramide.	16
¿Qué tiene que ver con la salud humana?	39
Cuando metemos cosas en la base de la piramide que no deberían estar ahí, empiezan a ocurrir cosas desagradables.	113
Contaminantes, algunos contaminantes los hemos creado, moléculas como PCBs que no pueden ser asimiladas por nuestro organismo.	126
Se van a la base de la pirámide, y se mueven hacia arriba, van pasando hacia arriba de esa manera a los depredadores y luego a los depredadores mayores. Y al hacerlo, se acumulan.	179
Ahora , para llevarlas a casa, pensé en inventarme un juego.	60
no tenemos que realmente jugarlo. Podemos tan solo pensarlo aqui.	65
Es el juego del poliestireno y el chocolate.	44
Imaginen que cuando subimos a este bote, se nos entrega dos bolitas de poliestireno.	84
no puedes hacer mucho con ellas, asi que las pones en tu bolsillo.	66
por que las reglas son: cada vez que le ofrezcas una bebida a alguien, le das una bebida, y le das tus bolitas de poliestireno tambien.	135
Lo que sucederá es que las bolitas de poliestireno se moverán através de toda la sociedad aqui. y se acumularan en las personas mas borrachinas.	144
No existe un mecanismo en este juego para que terminen mas que en un cumulo grande de bolitas de poliestireno indigeribles.	123
Eso es exactamente lo que sucede con los PDBs en ésta cadena alimenticia. Se acumulan en la punta de ella.	106
Ahora supongan que en lugar de bolitas de poliestireno, tomamos estos pequeños y adorables chocolates y los usamos en lugar de las bolitas.	139
Bien, algunos de nosotros nos comeriamos los chocolates en lugar de pasarlos alrededor. y en lugar de acumularlos, pasarían entre este grupito aqui y no se acumularian en ningun otro grupo. Porque son absorvidos por nosotros.	225
Esa es la diferencia entre PCB y digamos, algo natural como el omega-3, algo que queremos fuera de la cadena alimenticia marina.	128
los PCB se acumulan.	20
Desafortunadamente, tenemos grandes ejemplos de eso.	52
Los PCB se acumulan en los delfines de la bahia de Sarasota, en Texas, en Carolina del Norte.	93
Llegan a la cadena alimenticia.	31
Los delfines comen los peces que tienen PCB del plancton, y esos PCBs, siendo grasas solubles, se acumulan en esos delfines,	124
Ahora, un delfin, mama delfin, cualquier delfin - existe solo una manera de que el PCB salga del delfin	103
y cual es ?	11
En la leche materna.	20
Este es un diagrama de una carga de PCB en un delfin de la bahia de Saratosa.	77
Machos adultos, una carga grande.	33
Juveniles, una carga grande.	28
en las hembras, después de que la primera cria es destetada, la carga es pequeña.	81
Estas hembras no están tratando,	32
éstas hembras están transmitiendo el PCB en la grasa de la leche materna a sus crías. sus crías no sobrevivirán.	112
el porcentaje de muertes en estos delfines, en la primera cria de estas hembras es del 60% a 80%.	97
Estas hembras inyectan a su primera cria con éste contaminante. y la mayoría mueren.	84
La madre puede reproducirse, pero es un precio muy alto el que paga debido a la acumulación de este contaminante en estos animales- la muerte de su primera cria.	161
Existe otro predador en el océano, resulta	42
que el predador mas alto, somos nosotros.	41
y nosotros tambien estamos consumiendo carne que provienen de esos mismos lugares.	82
Esta es carne de ballena que fotografié en una tienda de abarrotes en Tokyo - o no lo es ?	90
de hecho, lo que hicimos hace unos años atrás, fue aprender a escondernos en un laboratorio de biología molecular en Tokyo y usarlo para testear genéticamente el DNA de ejemplos de carne de ballena e identificar lo que realmente eran.	234
Algunos de esos ejemplos sí eran carne de ballena.	50
y algunos de los ejemplos eran carne de ballena ilegal, por cierto	66
esa es otra historia.	21
algunos no eran carne de ballena.	33
aunque estaba marcada como carne de ballena, era carne de delfin.	65
algunos eran higado de delfin. algunos eran grasa de delfin.	60
y esas partes de los delfines tienen grandes cantidades de PCB, dioxinas y metales pesados.	91
y esas cargas se estaban transmitiendo a las personas que consumian esa carne.	78
Resultó que muchos de los delfines se vendian como carne de ballena en el mercado a nivel mundial.	98
Esa fué una tragedia para esa población. Tambien fué una tragedia para las personas que lo consumian porque no sabian que era carne contaminada.	144
Tuvimos estos datos hace unos años atras.	41
Recuerdo estar sentado en mi escritorio siendo la unica persona en el mundo que sabia que esa carne de ballena que se vendia en el mercado era realmente carne de delfin y que era toxica.	186
Tenia dos, tres o 400 veces la carga toxica permitida por la EPA.	65
Y recuerdo estar sentado en mi escritorio pensando, "Bien, sé esto. Es un gran descubrimiento científico" pero es tan terrible.	127
Por primera vez en mi carrera cientifica quebré el protocolo cientifico, el cual es, que tomas tus datos y los publicas en una revista cientifica, y luego hablas acerca de ello.	177
Enviamos una carta muy cortés al ministro de salud en Japón y simplemente señalamos que era una situación intolerable, no por nosotros, si no por la gente en Japón. Porque las madres que estaban amamantando, quienes tenian hijos pequeños, estaban comprando algo que creian era saludable, pero realmente era toxico.	314
Esto conllevo a varias campañas en Japón. Y me siento orgulloso de decir que en este momento, es muy difícil comprar algo en Japón que esté marcado incorrectamente, aunque esten vendiendo carne de ballena, lo cual creo no deberian,	231
al menos está marcada correctamente, no estarás comprando carne de delfin contaminada.	86
No solo sucede alli, tambien en dietas naturales de algunas comunidades en el artico canadiense y el de los EUA y en el artico europeo, una dieta natural de leones marinos y ballenas conlleva a la acumulación de PCB que han acarreado de todas partes del mundo y terminan en éstas mujeres.	288
Estas mujeres tienen leche materna contaminada.	47
No pueden alimentar a sus descendientes, sus hijos, con su leche materna debido a la acumulación de éstos contaminantes en la cadena alimenticia, de la piramide océanica Eso significa que sus sistemas inmunológicos están comprometidos.	235
significa que el desarrollo de sus hijos puede estar comprometido.	66
